tgl,namabarang,satuan,qty,hargajual,barcode,kategori,month_yr,month,year
19:20.9,SOS P.LANTAI ORANGE 800ML REFF,PCS,1,7350,55500130221,Cleaning (5),0,1,2017
15:48.2,DOLPIN GARAM 1000GR*12,PCS,2,6850,11747234207,Food (1),0,1,2017
41:20.7,DOLPIN GARAM 1000GR*12,PCS,1,6850,11747234207,Food (1),0,1,2017
26:43.6,SOS P.LANTAI ORANGE 800ML REFF,PCS,1,7350,55500130221,Cleaning (5),0,1,2017
35:16.4,DOLPIN GARAM 1000GR*12,PCS,1,6850,11747234207,Food (1),0,1,2017
43:02.2,SOS P.LANTAI ORANGE 800ML REFF,PCS,1,7350,55500130221,Cleaning (5),0,1,2017
27:34.5,SOS P.LANTAI ORANGE 800ML REFF,PCS,1,7350,55500130221,Cleaning (5),0,1,2017
00:28.2,SOS P.LANTAI ORANGE 800ML REFF,PCS,1,7350,55500130221,Cleaning (5),0,1,2017
23:38.3,SOS P.LANTAI ORANGE 800ML REFF,PCS,3,7350,55500130221,Cleaning (5),0,1,2017
03:52.4,SOS P.LANTAI ORANGE 800ML REFF,PCS,1,7350,55500130221,Cleaning (5),0,1,2017
42:13.9,SOS P.LANTAI ORANGE 800ML REFF,PCS,1,7350,55500130221,Cleaning (5),0,1,2017
36:19.4,SOS P.LANTAI ORANGE 800ML REFF,PCS,1,7350,55500130221,Cleaning (5),0,1,2017
50:45.3,DOLPIN GARAM 1000GR*12,PCS,1,6850,11747234207,Food (1),0,1,2017
09:10.3,DOLPIN GARAM 1000GR*12,PCS,1,6850,11747234207,Food (1),0,1,2017
54:39.5,DOLPIN GARAM 1000GR*12,PCS,1,6850,11747234207,Food (1),0,1,2017
36:35.2,SOS P.LANTAI ORANGE 800ML REFF,PCS,1,7350,55500130221,Cleaning (5),0,1,2017
25:17.2,DOLPIN GARAM 1000GR*12,PCS,1,6850,11747234207,Food (1),0,1,2017
32:04.1,SOS P.LANTAI ORANGE 800ML REFF,PCS,5,7350,55500130221,Cleaning (5),0,1,2017
14:59.3,DOLPIN GARAM 1000GR*12,PCS,1,6850,11747234207,Food (1),0,1,2017
07:49.6,DOLPIN GARAM 1000GR*12,PCS,3,6850,11747234207,Food (1),0,1,2017
06:13.2,DUA KELINCI KCG.GRG 10*1000GR,PCS,1,54900,11747233057,Food (1),0,1,2017
